answers,ownerId,quesId,summary,tags,views,votes
24,2108,159118,How do I match any character across multiple lines in a regular expression?,"regex,multiline",416,416
11,1675586,19585028,I lose my data when the container exits,docker,416,416
14,315491,2883576,How do you convert epoch time in C#?,"c#,time,epoch",416,416
14,284714,24049020,NSNotificationCenter addObserver in Swift,"ios,swift,nsnotificationcenter",416,416
13,1452111,11003761,Notepad++ add to every line,notepad++,417,417
9,313194,2627002,What's the pythonic way to use getters and setters?,"python,getter-setter",416,416
10,166251,6539801,Reminder - \r\n or \n\r?,".net,windows,ascii",416,416
16,155196,5164930,Fatal error: Maximum execution time of 30 seconds exceeded,"php,json",417,417
15,55093,2750580,How to find the php.ini file used by the command line?,"php,easyphp",417,417
5,401584,3329641,"How do multiple clients connect simultaneously to one port, say 80, on a server? [duplicate]","http,tcp,connection,client-server,port",417,417
22,499448,11072576,Set selected item of spinner programmatically,"android,spinner",417,417
7,303477,6088409,SVG drop shadow using css3,"html,css,svg,svg-filters",417,417
15,3803850,25356810,Git: How to squash all commits on branch,"git,version-control",417,417
15,154688,7655127,How to convert a char array back to a string?,"java,arrays,string,char",418,418
23,3830,59670,How to get rid of `deprecated conversion from string constant to ‘char*’` warnings in GCC?,"c++,string,gcc",417,417
32,852956,18111657,How to get names of enum entries?,"enums,typescript",416,416
9,99876,4753888,Renaming branches remotely in Git,"git,branch,rename",418,418
9,157027,1359689,How to send HTTP request in java? [duplicate],"java,html,http,httpwebrequest",418,418
3,4105,2000582,CSS selector for “foo that contains bar”? [duplicate],"css,css-selectors",418,418
21,599970,5108876,Kill a postgresql session/connection,"database,postgresql",417,417
15,72858,757684,Enum “Inheritance”,"c#,.net,enums",418,418
4,582644,14833008,Java string split with “.” (dot) [duplicate],"java,regex,string,split,indexoutofboundsexception",418,418
11,235654,2224844,How to get the absolute coordinates of a view,"android,android-tablelayout",418,418
9,-1,3567981,How do MySQL indexes work?,"mysql,indexing",418,418
22,63051,1529946,Linux: copy and create destination dir if it does not exist,"linux,bash,shell,unix,cp",418,418
11,-1,663402,What are the differences between LDAP and Active Directory?,"active-directory,ldap",418,418
25,82156,1598119,Is there an easy way to add a border to the top and bottom of an Android View?,"android,border,android-view,textview",418,418
35,967484,46316373,Fixing Xcode 9 issue: “iPhone is busy: Preparing debugger support for iPhone”,"ios,xcode,ios11,xcode9",418,418
5,407845,16350673,Depend on a branch or tag using a git URL in a package.json?,"git,dependencies,npm,branch,git-tag",418,418
20,436919,3617797,Regex to match only letters,regex,420,420
5,1358896,10335561,“use database_name” command in PostgreSQL,"postgresql,postgresql-9.1",418,418
4,400440,3839966,"Can anyone explain what JSONP is, in layman terms? [duplicate]","jquery,jsonp",420,420
20,7086,69192,How to implement a queue using two stacks?,"algorithm,data-structures,stack,queue",418,418
15,348862,2920416,./configure : /bin/sh^M : bad interpreter [duplicate],"linux,bash,shell,newline",418,418
19,168500,1388818,How can I compare two lists in python and return matches,"python,list",418,418
30,961388,7530725,Unrecognized attribute 'targetFramework'. Note that attribute names are case-sensitive,asp.net,420,420
10,35483,2425973,Open Source Alternatives to Reflector? [closed],".net,reflection,open-source,reflector",419,419
8,-1,510325,How do I close all open tabs at once?,"vim,vi,shortcuts",420,420
5,226958,17918117,Rails 4: List of available datatypes,"ruby-on-rails,ruby,ruby-on-rails-4,rails-activerecord",420,420
23,18687,146159,Is Fortran easier to optimize than C for heavy calculations?,"c,performance,fortran",420,420
11,3859456,45854169,How can I use an ES6 import in Node.js? [duplicate],"node.js,es6-modules",420,420
15,128967,21105403,Mocking static methods with Mockito,"java,unit-testing,static,mocking,mockito",421,421
16,428390,3634853,How to create a directory in Java?,"java,directory",418,418
10,5536,100210,What is the standard way to add N seconds to datetime.time in Python?,"python,datetime,time,math",421,421
4,193133,1888779,What is the error “Every derived table must have its own alias” in MySQL?,"mysql,subquery,mysql-dependent-subquery,mysql-error-1248",421,421
35,1746118,39494631,gpg failed to sign the data fatal: failed to write commit object [Git 2.10.0],"git,github,gpg-signature",418,418
30,160116,1306727,Way to get number of digits in an int?,"java,integer",420,420
2,148190,1209999,Using git to get just the latest revision,git,421,421
17,482825,3987041,Run function from the command line,"python,function,command-line",420,420
23,144695,1966476,How can I process each letter of text using Javascript?,"javascript,string",420,420
36,48557,388180,How to make an image center (vertically & horizontally) inside a bigger div [duplicate],"html,css",420,420
15,-1,257005,How do you round a number to two decimal places in C#?,"c#,decimal,rounding,bankers-rounding",421,421
2,242814,4629979,Nested select statement in SQL Server,"sql,sql-server,nested,subquery,querying",421,421
9,78182,4025916,Git undo local branch delete,"git,branch,git-branch",421,421
6,165345,3017695,How to configure encoding in Maven?,"java,maven,encoding,maven-2,maven-3",421,421
21,703144,12576798,AngularJS : How to watch service variables?,"angularjs,watch,angular-services",421,421
5,1015678,43220348,Can't bind to 'formControl' since it isn't a known property of 'input' - Angular2 Material Autocomplete issue,"angular,typescript,angular-material2,angular-forms",421,421
18,474980,5683728,Convert java.util.Date to String,"java,date,formatting,java.util.date",422,422
21,297907,4837673,How to execute mongo commands through shell scripts?,"mongodb,bash,shell,sh",422,422
12,4316,44917,Explicit vs implicit SQL joins,"sql,join",423,423
14,3594,235439,Vim 80 column layout concerns,"vim,coding-style",422,422
2,415784,4437527,Why do we use volatile keyword? [duplicate],"c++,volatile,compiler-optimization",422,422
3,6133,135657,How to identify unused CSS definitions from multiple CSS files in a project,"css,performance,optimization,code-cleanup",423,423
30,384293,6364289,Clear form fields with jQuery,"jquery,html,forms",422,422
13,7705,350404,"How do the Proxy, Decorator, Adapter, and Bridge Patterns differ?","design-patterns,decorator,bridge,proxy-pattern",422,422
13,5943218,39778607,Error Running React Native App From Terminal (iOS),"javascript,ios,reactjs,react-native,ios-simulator",422,422
30,174261,1686724,How to find the last day of the month from date?,"php,date",422,422
9,263830,3050518,What HTTP status response code should I use if the request is missing a required parameter?,"http,http-status-codes",423,423
5,5132826,35531369,Why is (a*b != 0) faster than (a != 0 && b != 0) in Java?,"java,performance,processing-efficiency,microbenchmark,branch-prediction",423,423
8,55246,2271156,Chrome desktop notification example [closed],"javascript,desktop,google-chrome,notifications",423,423
14,249316,4015816,Why is @font-face throwing a 404 error on woff files?,"css,http-status-code-404,font-face,woff",423,423
36,5222,2547402,How to find the statistical mode?,"r,statistics,r-faq",423,423
24,97433,899574,What is the difference between typeof and instanceof and when should one be used vs. the other?,"javascript,instanceof,typeof",423,423
14,383759,5219175,How to make an element width: 100% minus padding?,"html,css,width,fluid-layout",423,423
29,-1,1292575,Android TextView Justify Text,"android,text,format,textview,justify",423,423
12,129001,2030847,Best way to read a large file into a byte array in C#?,"c#,.net,bytearray,binary-data",423,423
10,38126,3974985,Update MongoDB field using value of another field,"mongodb,mongodb-query,aggregation-framework",423,423
24,4639,68485,How to show loading spinner in jQuery?,"jquery,spinner,prototypejs,equivalence,language-interoperability",423,423
6,775762,30722883,iOS9 Untrusted Enterprise Developer with no option to trust,"ios,ios9,ios-enterprise",426,426
13,1512,125281,How do I remove the file suffix and path portion from a path string in Bash?,"string,bash,filenames",425,425
13,-1,1439950,"What's the opposite of 'make install', i.e. how do you uninstall a library in Linux?","makefile,uninstallation",423,423
46,889992,13322937,"HTTP Error 503, the service is unavailable","asp.net,iis,http-error",425,425
25,168273,19274789,How can I change image tintColor in iOS and WatchKit,"ios,swift,uiimage,uicolor,watchkit",427,427
17,323148,4153517,How exactly does the android:onClick XML attribute differ from setOnClickListener?,"android,onclick",426,426
50,3751185,26024100,dyld: Library not loaded: @rpath/libswiftCore.dylib,"ios,swift,xcode,dyld",427,427
4,103264,4558754,Define: What is a HashSet?,"c#,hashset",428,428
20,469652,4406501,Change the name of a key in dictionary,"python,dictionary,sequence",426,426
7,1690,4091831,How to use ternary operator in razor (specifically on HTML attributes)?,"razor,asp.net-mvc-3",426,426
13,1428854,15655126,How to auto-format code in Eclipse?,"eclipse,formatting,format,code-formatting",426,426
2,856014,7983820,Get the last 4 characters of a string [duplicate],"python,string",428,428
10,1619243,13626517,How to remove “disabled” attribute using jQuery?,"javascript,jquery,disabled-input",428,428
39,2649671,18039057,Python Pandas Error tokenizing data,"python,csv,pandas",428,428
26,648403,6666423,Overcoming “Display forbidden by X-Frame-Options”,"iframe,frames,x-frame-options",430,430
13,724910,6260756,how to stop Javascript forEach? [duplicate],"javascript,ecmascript-5",428,428
20,-1,885937,"What is the difference between association, aggregation and composition?","oop,uml,associations,aggregation,composition",428,428
18,2038135,14678593,The application may be doing too much work on its main thread,"android,multithreading",428,428
2,741970,18599711,How can I split a shell command over multiple lines when using an IF statement?,"syntax,sh",428,428
18,2652888,18462808,Responsive image align center bootstrap 3,"html,css,image,twitter-bootstrap,alignment",430,430
34,266535,12009423,What does status=canceled for a resource mean in Chrome Developer Tools?,"debugging,http,google-chrome,developer-tools,web-developer-toolbar",429,429
17,18309,4389932,How do you disable viewport zooming on Mobile Safari?,"html,ios,mobile-safari,viewport,zoom-sdk",430,430
6,2822252,39062930,"What is the difference between declarations, providers, and import in NgModule?","angular,angular-module",431,431
15,2635,24551,Initialize class fields in constructor or at declaration?,java,432,432
4,485241,9646167,Clean up a fork and restart it from the upstream,git,431,431
15,527968,4802887,Gson: How to exclude specific fields from Serialization without annotations,"java,json,serialization,gson",428,428
11,2448918,17066250,Create timestamp variable in bash script,"bash,variables,timestamp",430,430
20,2955312,33225947,Can a website detect when you are using Selenium with chromedriver?,"javascript,python,google-chrome,selenium,selenium-chromedriver",431,431
17,152580,1993390,Static linking vs dynamic linking,"c++,c,performance,static-linking,dynamic-linking",432,432
5,1120221,16365130,What is the difference between “#!/usr/bin/env bash” and “#!/usr/bin/bash”?,"linux,bash,shell,unix,shebang",434,434
4,10381214,52390368,Array state will be cached in iOS 12 Safari. Is it a bug or feature?,"javascript,ios,safari,ios12",434,434
14,82733,2150739,ISO time (ISO 8601) in Python,"python,datetime,iso8601",431,431
15,154510,1481152,How to detect a textbox's content has changed,"javascript,jquery,textbox,keypress",431,431
11,211,25794,Copy/duplicate database without using mysqldump,mysql,434,434
6,5836,89576,How do you specify a different port number in SQL Management Studio?,"sql-server,sql-server-2005,ssms",434,434
7,867208,29413222,What are the actual uses of ES6 WeakMap?,"javascript,ecmascript-6,weakmap",432,432
17,348785,10763440,How to install python3 version of package via pip on Ubuntu?,"python,ubuntu,python-3.x,ubuntu-12.04,pip",434,434
20,433904,3596089,How to remove specific value from array using jQuery,"jquery,arrays",431,431
15,35416,346536,Difference between a Structure and a Union,"c,struct,unions",434,434
17,-1,77718,Why doesn't Java offer operator overloading?,"java,operator-overloading",434,434
4,127013,5018545,getApplication() vs. getApplicationContext(),"android,android-activity,android-service,android-context",434,434
18,3083382,24046164,How do I get a reference to the app delegate in Swift?,swift,434,434
6,463038,4649356,How do I run git log to see changes only for a specific branch?,"git,branch,git-branch,git-log",434,434
19,74312,619895,How can I properly handle 404 in ASP.NET MVC?,"asp.net-mvc,http-status-code-404",434,434
3,8449391,45629176,Why do all the C files written by my lecturer start with a single # on the first line?,"c,c-preprocessor",435,435
33,26658,392022,What's the best way to send a signal to all members of a process group?,"linux,shell,process,signals",434,434
14,1501327,19465049,Changing API level Android Studio,"android,android-studio,sdk,android-api-levels",434,434
12,278326,2524611,How can one print a size_t variable portably using the printf family?,"c,printf",435,435
21,122792,993358,Creating a range of dates in Python,"python,datetime,date",436,436
4,3343503,30864573,What is a blob URL and why it is used?,"html5-video,bloburls",437,437
10,454780,12866494,How do you reinstall an app's dependencies using npm?,"node.js,npm",436,436
6,52622,879391,LINQ .Any VS .Exists - What's the difference?,"c#,linq,collections",435,435
7,471436,13732826,Convert .pem to .crt and .key,"ssl,certificate,private-key",436,436
32,186852,1544739,Google Maps API v3: How to remove all markers?,"javascript,html,google-maps,google-maps-api-3",435,435
5,305955,2698151,Entity Framework VS LINQ to SQL VS ADO.NET with stored procedures? [closed],"sql,linq-to-sql,entity-framework,ado.net,linq-to-entities",435,435
6,5261,1065188,"In PHP, what is a closure and why does it use the “use” identifier?","php,closures",436,436
56,32484,4240080,Generating all permutations of a given string,"java,algorithm",436,436
7,40145,313111,Is there a /dev/null on Windows?,windows,437,437
3,798502,15155778,Superscript in markdown (Github flavored)?,"github,markdown",437,437
32,224988,3910244,Getting current device language in iOS?,"ios,objective-c,cocoa-touch,nslocale",436,436
11,3205,36139,How to sort a list of strings?,"python,string,sorting",439,439
1,475850,7901864,Git conflict markers [duplicate],"git,git-merge-conflict",439,439
6,266603,2602043,REST API Best practice: How to accept list of parameter values as input [closed],rest,439,439
22,60956,1103149,Non greedy (reluctant) regex matching in sed?,"regex,sed,pcre,greedy,regex-greedy",436,436
3,130638,16392260,Which websocket library to use with Node.js? [closed],"node.js,websocket,socket.io,sockjs,engine.io",439,439
7,520640,4281424,Writing/outputting HTML strings unescaped,"asp.net-mvc,asp.net-mvc-3,razor",439,439
7,397991,5291726,What is the main purpose of setTag() getTag() methods of View?,"android,view,android-view,android-viewholder",437,437
9,246963,4002340,Error renaming a column in MySQL,"mysql,database,alter-table,mysql-error-1025",439,439
6,2800339,18947516,@import vs #import - iOS 7,"ios,objective-c,import,ios7",439,439
9,11236,1097527,Rethrowing exceptions in Java without losing the stack trace,"java,exception",439,439
15,111265,977796,Why does Math.Round(2.5) return 2 instead of 3?,".net,rounding",437,437
15,77972,699065,Submitting a form on 'Enter' with jQuery?,"javascript,jquery,html,webkit,forms",439,439
12,3280133,25436312,Gitignore not working,"git,gitignore",439,439
4,242172,8870442,How is Math.Pow() implemented in .NET Framework?,"c#,.net,pow",439,439
8,606344,4969641,How to append one file to another in Linux from the shell?,"linux,shell,file,ubuntu,append",439,439
10,9021,3090369,Disable validation of HTML5 form elements,"validation,forms,html,input",437,437
3,28901,996602,Returning value that was passed into a method,"c#,mocking,moq",434,434
10,11515,874461,Read .mat files in Python,"python,matlab,file-io,scipy,mat-file",439,439
10,1157814,30933277,How can I clear the NuGet package cache using the command line?,"nuget,nuget-package",439,439
6,243780,6921699,Can I get JSON to load into an OrderedDict?,"python,json,load,ordereddictionary",440,440
16,16148,85451,Python's time.clock() vs. time.time() accuracy?,"python,time",440,440
4,556479,4811434,Clone only one branch [duplicate],"git,github",440,440
17,63,227897,How to allocate aligned memory only using the standard library?,"c,memory-management",440,440
15,139985,25706216,What does a “Cannot find symbol” or “Cannot resolve symbol” error mean?,"java,compiler-errors,cannot-find-symbol",440,440
23,11256,165719,Practical uses for the “internal” keyword in C#,"c#,access-modifiers,internals",440,440
15,31116,252780,Why should we typedef a struct so often in C?,"c,struct,typedef",441,441
31,35416,402377,Using getopts to process long and short command line options,"bash,command-line-arguments,getopt,getopts",436,436
8,99694,1449459,How do I make a column unique and index it in a Ruby on Rails migration?,ruby-on-rails,441,441
22,1358522,16830405,Laravel requires the Mcrypt PHP extension,"php,laravel,laravel-4,mcrypt",441,441
34,9322906,48910876,"Error: EACCES: permission denied, access '/usr/local/lib/node_modules'","node.js,npm,permission-denied",441,441
27,14752,454854,No module named MySQLdb,"python,django,python-2.x",441,441
19,143378,2975197,Convert file: Uri to File in Android,"android,file,uri,file-uri",441,441
8,2244411,22600856,Moment js date time comparison,"javascript,jquery,datetime,momentjs",441,441
7,167911,1566595,Can I use multiple versions of jQuery on the same page?,"javascript,jquery,iframe",441,441
3,2336654,47152691,How to pivot a dataframe?,"python,pandas,group-by,pivot,pandas-groupby",442,442
23,336527,3844801,Check if all elements in a list are identical,"python,algorithm,comparison",441,441
27,3987161,30604846,Docker error : no space left on device,"ubuntu,memory,docker,temp",441,441
10,1185123,10153998,Sublime Text 2 - View whitespace characters,"sublimetext,sublimetext2",440,440
7,1801,4145266,How to search all loaded scripts in Chrome Developer Tools?,"google-chrome,google-chrome-devtools,script-debugging",442,442
16,18664,2737328,Why should I not wrap every block in “try”-“catch”?,"exception,language-agnostic,try-catch",442,442
10,63761,3009477,What is Ruby's double-colon `::`?,"ruby,syntax,operators",442,442
18,12637,2390789,How to replace all dots in a string using JavaScript,"javascript,string,replace",441,441
17,204623,6294179,How to find all occurrences of an element in a list,"python,list",442,442
11,122528,1515969,Exporting data In SQL Server as INSERT INTO,"sql,sql-server,insert,data-migration",441,441
12,40872,1400078,Is it possible to specify condition in Count()?,"sql,sql-server,tsql",441,441
40,2026281,14636536,How to check if a variable is an integer in JavaScript?,javascript,441,441
12,1824361,13395114,How to initialize List<String> object in Java?,"java,list",442,442
8,341874,30731785,How do I load an HTTP URL with App Transport Security enabled in iOS 9? [duplicate],"ios,url,nsurl,ios9,app-transport-security",442,442
9,168882,2241348,"What is Unicode, UTF-8, UTF-16?","unicode,encoding,utf-8,utf-16",437,437
22,2816194,39604271,Conda environments not showing up in Jupyter Notebook,"anaconda,jupyter,jupyter-notebook,conda",442,442
7,176180,1481476,When to use “ON UPDATE CASCADE”,"sql,foreign-keys,foreign-key-relationship",444,444
22,21268,612689,A generic list of anonymous class,"c#,.net,generics,anonymous-types",442,442
29,85821,2276463,How can I get form data with JavaScript/jQuery?,"javascript,jquery,forms",443,443
17,11190,70855,How can one use multi threading in PHP applications,"php,multithreading",444,444
4,544140,4561097,CSS Box Shadow Bottom Only [duplicate],"css,underline,box-shadow",442,442
15,3957,271067,How can I make a TextArea 100% width without overflowing when padding is present in CSS?,"html,css,stylesheet",444,444
15,77175,642154,How to convert strings into integers in Python?,"python,string,integer",444,444
12,23372,150750,HashSet vs. List performance,".net,performance,collections,list,hash",444,444
18,116,164397,JavaScript: How do I print a message to the error console?,"javascript,debugging",444,444
15,63051,1221833,Pipe output and capture exit status in Bash,"bash,shell,error-handling,pipe",444,444
7,434697,36261225,Why Is `Export Default Const` invalid?,"javascript,scope,export,constants,default",444,444
31,112104,2279000,Visual Studio : short cut Key : Duplicate Line,"visual-studio,visual-studio-2008,keyboard-shortcuts",444,444
27,238419,11370344,Could not load file or assembly … An attempt was made to load a program with an incorrect format (System.BadImageFormatException),"c#,exception,console-application,badimageformatexception",444,444
1,1135948,26914692,Scalaz iteratees: “Lifting” `EnumeratorT` to match `IterateeT` for a “bigger” monad,"scala,monads,scalaz,enumerator,iterate",445,445
14,2572740,540349,Change the image source on rollover using jQuery,"jquery,html",444,444
16,2335820,44785585,Docker: How to delete all local Docker images,"docker,docker-compose",444,444
18,36590,526347,jQuery get the rendered height of an element?,"jquery,css,height",438,438
14,75642,1762539,Margin on child element moves parent element,"css,xhtml,margin,nested",445,445
11,82474,6504810,How to install lxml on Ubuntu,"python,ubuntu,lxml,libxml2,easy-install",444,444
6,102008,1592565,Determine if variable is defined in Python [duplicate],"python,variables,defined",446,446
10,389432,9156176,What is the difference between `throw new Error` and `throw someObject`?,"javascript,object,error-handling,exception-handling,throw",445,445
20,15676,128478,Should import statements always be at the top of a module?,"python,optimization,pep8",445,445
8,1907800,15316363,How to display length of filtered ng-repeat data,"javascript,angularjs",446,446
2,261718,6501121,Difference between exit() and sys.exit() in Python,"python,exit",445,445
18,812970,16760900,Pad a string with leading zeros so it's 3 characters long in SQL Server 2008,"sql-server,tsql",446,446
15,3565,212614,Should we @Override an interface's method implementation?,"java,oop,interface,annotations",447,447
8,155639,13047923,Working with select using AngularJS's ng-options,"javascript,angularjs,html-select,ng-options",446,446
13,11,14,Difference between Math.Floor() and Math.Truncate(),".net,math",446,446
14,857223,6871016,Adding days to a date in Python,"python,date,datetime,timedelta",446,446
6,104458,8640887,Git merge without auto commit,git,447,447
6,-1,12475850,SQL query return data from multiple tables,"mysql,sql,select",447,447
2,257092,2201598,How to define two fields “unique” as couple,"django,django-models",447,447
16,1107173,22312671,Setting Environment Variables for Node to retrieve,"node.js,environment-variables",444,444
14,11069,1348842,What should I set JAVA_HOME environment variable on macOS X 10.6?,"java,macos,configuration",447,447
10,4883,47789,Generator expressions vs. list comprehensions,"python,list-comprehension,generator",447,447
23,1011612,7881469,Change key pair for ec2 instance,"amazon-web-services,amazon-ec2,ssh,key-pair",447,447
12,13055,207477,RESTful URL design for search,rest,448,448
19,630135,5443304,How to change an Android app's name?,"android,android-manifest",447,447
45,30786,546321,How do I calculate the date six months from the current date using the datetime Python module?,"python,datetime",447,447
14,996431,8993773,Contains case insensitive,"javascript,string,case-sensitive,case-insensitive",448,448
14,258537,6205157,How to set keyboard shortcuts to jump to beginning/end of line? [closed],"macos,bash,iterm,iterm2",447,447
13,100142,969130,How to print out the method name and line number and conditionally disable NSLog?,"objective-c,cocoa,cocoa-touch,xcode,nslog",447,447
5,4161,3745135,Push git commits & tags simultaneously,git,448,448
21,-1,19132,Expression Versus Statement,"language-agnostic,expression,language-features",448,448
8,39036,3821640,"What is the difference between Tomcat, JBoss and Glassfish?","java,tomcat,jboss,glassfish,enterprise",448,448
8,373674,6803305,Should I use JSLint or JSHint JavaScript validation? [closed],"javascript,jslint,jshint",457,457
15,1276803,11064316,What is ViewModel in MVC?,"asp.net-mvc,viewmodel",448,448
8,30911,893333,Multiple variables in a 'with' statement?,"python,with-statement",448,448
10,552450,5870537,What's the difference between django OneToOneField and ForeignKey?,"django,django-models",459,459
13,155196,4531396,Get Value of a Edit Text field,"android,android-edittext",459,459
10,1199234,4667483,How is the default max Java heap size determined?,"java,heap,heap-memory",459,459
5,1247294,21631313,Xcode Project vs. Xcode Workspace - Differences,xcode,448,448
20,514,249087,How do I remove diacritics (accents) from a string in .NET?,".net,string,diacritics",459,459
5,3551773,24175998,"Meaning of numbers in “col-md-4”,“ col-xs-1”, “col-lg-2” in Bootstrap","css,twitter-bootstrap,twitter-bootstrap-3,grid",459,459
7,988233,9475893,How to add reference to System.Web.Optimization for MVC-3-converted-to-4 app,"asp.net-mvc-4,namespaces,asp.net-optimization",459,459
10,103225,3012488,What is the python “with” statement designed for?,"python,language-features,with-statement",447,447
30,2686,92859,What are the differences between struct and class in C++?,"c++,oop,class,struct,c++-faq",459,459
39,-1,564650,Convert HTML to PDF in .NET,"c#,html,pdf,itextsharp",457,457
24,192529,3602450,Where are my postgres *.conf files?,"postgresql,configuration,ubuntu-8.04",459,459
12,18446,135041,Should you always favor xrange() over range()?,"python,range,xrange",460,460
6,982865,20295578,"Difference between @Before, @BeforeClass, @BeforeEach and @BeforeAll","java,junit,annotations,junit4,junit5",459,459
34,2959,139076,How to pretty print XML from Java?,"java,xml,pretty-print",460,460
23,510981,18390574,How to delete duplicate rows in SQL Server?,"sql,sql-server-2008,duplicates,sql-delete",459,459
8,559500,4685563,How to pass a function as a parameter in Java? [duplicate],java,448,448
14,13989,93128,MySQL Error 1153 - Got a packet bigger than 'max_allowed_packet' bytes,"mysql,max-allowed-packet",460,460
7,710316,6182356,What is %2C in a URL?,"url,url-encoding",462,462
7,77449,739682,How to add percent sign to NSString,"objective-c,nsstring,string-literals",459,459
13,312785,7999935,Python datetime to string without microsecond component,"python,datetime,datetime-format",459,459
23,1139936,28725955,How do I test a single file using Jest?,"node.js,jestjs",460,460
24,149998,3476765,"MySQL DROP all tables, ignoring foreign keys","mysql,foreign-keys,innodb,sql-drop",460,460
10,1348195,22539815,Aren't promises just callbacks?,"javascript,callback,promise,q,bluebird",460,460
14,97964,3937387,Rotating videos with FFmpeg,"ffmpeg,rotation,video-processing",462,462
6,53409,1521605,SQL Server query - Selecting COUNT(*) with DISTINCT,"sql,sql-server,sql-server-2005,tsql",462,462
33,249991,2279647,How to emulate GPS location in the Android Emulator?,"android,testing,android-emulator,geolocation",462,462
20,588823,4792260,How do you change text to bold in Android?,"android,text,textview",462,462
17,22807,147454,Why is using a wild card with a Java import statement bad?,"java,import,wildcard",462,462
9,603744,5960678,What's the difference between commit() and apply() in SharedPreferences,"android,sharedpreferences",460,460
18,310991,3395286,Remove last character of a StringBuilder?,"java,stringbuilder",462,462
5,93422,10952185,Disable file preview in VS2012,visual-studio-2012,462,462
19,3562385,39281594,ERROR 1698 (28000): Access denied for user 'root'@'localhost',"mysql,iredmail",462,462
21,3832,496702,Can a shell script set environment variables of the calling shell? [duplicate],"bash,shell,csh,tcsh",463,463
6,1382745,14827650,pyplot scatter plot marker size,"matplotlib,marker,scatter",463,463
7,4882514,35424053,What are the differences between normal and slim package of jquery?,"jquery,slim-jquery",463,463
3,1202030,9257533,What is the difference between origin and upstream on GitHub?,"git,github,git-branch",463,463
10,813,136793,Is there a “do … while” loop in Ruby?,"ruby,loops",463,463
19,613721,7241878,For..In loops in JavaScript - key value pairs,"javascript,foreach",462,462
13,966550,8802157,How to use LocalBroadcastManager?,"android,broadcastreceiver",463,463
31,430062,3687358,What's the best way to get the last element of an array without deleting it?,"php,arrays",463,463
10,1650757,24330014,bodyParser is deprecated express 4,"node.js,express,middleware",463,463
18,1160432,8940230,How to run SQL script in MySQL?,"mysql,command-line",463,463
13,245549,16729574,How to get a value from a cell of a dataframe?,"python,pandas,dataframe",463,463
15,1599926,14830313,Retrieving a List from a java.util.stream.Stream in Java 8,"java,lambda,collections,java-8,java-stream",463,463
6,244780,11819886,Regular expression search replace in Sublime Text 2,"regex,replace,sublimetext2",463,463
20,258482,12462318,Find a value in an array of objects in Javascript [duplicate],"javascript,arrays",464,464
27,180862,10167266,How to set cornerRadius for only top-left and top-right corner of a UIView?,"ios,cocoa-touch,uiview,cornerradius",463,463
3,10569,2220699,"What's the difference between eval, exec, and compile?","python,dynamic,eval,exec",465,465
15,564083,5004633,"How do I manually create a file with a . (dot) prefix in Windows? For example, .htaccess","windows,.htaccess,windows-xp,filenames",465,465
9,476467,12667797,Using cURL to upload POST data with files,"shell,file,curl,post,file-upload",465,465
6,260127,3639342,What's the difference between “git reset” and “git checkout”?,"git,git-checkout,git-reset",465,465
15,1143724,14759748,Stashing only staged changes in git - is it possible?,"git,git-stash",465,465
34,35112,531427,How do I display the current value of an Android Preference in the Preference summary?,"android,user-interface,android-preferences",465,465
14,52745,2308134,.trim() in JavaScript not working in IE,"javascript,internet-explorer,trim",465,465
20,461436,17839973,"Constructing pandas DataFrame from values in variables gives “ValueError: If using all scalar values, you must pass an index”","python,pandas,dataframe,scalar",465,465
7,293680,33445415,JavaScript Promises - reject vs. throw,"javascript,promise",465,465
14,13009,104612,Run MySQLDump without Locking Tables,"mysql,database",465,465
7,1245466,12850143,Android basics: running code in the UI thread,"android,android-asynctask,android-view,android-ui",466,466
6,10024,166132,Maximum length of the textual representation of an IPv6 address?,"ip,ip-address,ipv6",466,466
13,437523,5115427,How can I add a box-shadow on one side of an element?,"css,shadow,box-shadow",466,466
4,376083,5344805,LINQ Orderby Descending Query,"c#,linq,sql-order-by",465,465
7,217649,5205491,What's the difference between “STL” and “C++ Standard Library”?,"c++,stl,std,c++-standard-library,c++-faq",466,466
11,164002,2955459,What is an index in SQL?,"sql,indexing",466,466
14,611921,4961355,Percentage width in a RelativeLayout,"android,android-layout,android-relativelayout",465,465
22,17375,242841,JavaScript for…in vs for,javascript,465,465
10,-1,5400163,When to Redis? When to MongoDB? [closed],"architecture,mongodb,nosql,redis",466,466
34,-1,597077,What are the benefits of learning Vim? [closed],"vim,editor",466,466
8,128585,1075534,Can't use method return value in write context,php,467,467
63,497517,4226132,'App not Installed' Error on Android,"android,android-emulator",467,467
13,723007,21733847,React JSX: selecting “selected” on selected <select> option,"javascript,reactjs",466,466
25,-1,3452,SQL Client for Mac OS X that works with MS SQL Server [closed],"sql-server,macos",468,468
23,797,43157,Easy way to write contents of a Java InputStream to an OutputStream,"java,io,stream",467,467
6,179372,4986673,C++11 rvalues and move semantics confusion (return statement),"c++,c++11,move-semantics,rvalue-reference,c++-faq",468,468
6,150884,12462079,Possible heap pollution via varargs parameter,"java,eclipse,generics,variadic-functions",468,468
4,36737,576431,Is there a conditional ternary operator in VB.NET?,"vb.net,operators,conditional-operator,short-circuiting",468,468
7,145435,4912586,Explanation of <script type = “text/template”> … </script>,"javascript,templates,types,backbone.js,underscore.js",468,468
